Country_Region,Province_State,Total_Cases,Mean_Daily_Cases,Max_Daily_Cases,Std_Daily_Cases,Days_Reported
Australia,Australian Capital Territory,228,0.20559930008748906,67,2.066894453868432,1143
Australia,New South Wales,6529,5.713910761154856,344,16.077402771481545,1143
Australia,Northern Territory,91,0.0857392825896763,6,0.40095939051550733,1143
Australia,Queensland,2783,2.457567804024497,77,7.329360147640013,1143
Australia,South Australia,1365,1.2274715660542432,89,5.364707380900162,1143
Australia,Tasmania,256,0.22397200349956256,8,0.7443089197652606,1143
Australia,Victoria,7370,6.548556430446194,322,14.712393215039214,1143
Australia,Western Australia,952,0.8468941382327209,34,2.920458435420995,1143
Canada,Alberta,5622,4.94925634295713,96,9.927806694770583,1143
Canada,British Columbia,5249,4.594925634295713,91,11.396355862415016,1143
Canada,Diamond Princess,1,0.0008748906386701663,1,0.02957855031387048,1143
Canada,Grand Princess,0,0.0,0,0.0,1143
Canada,Manitoba,2464,2.167979002624672,66,4.978565969925149,1143
Canada,New Brunswick,834,0.7296587926509186,105,4.356433791830187,1143
Canada,Newfoundland and Labrador,318,0.2782152230971129,10,1.096694427894279,1143
Canada,Northwest Territories,22,0.019247594050743656,4,0.18139504385725436,1143
Canada,Nova Scotia,794,0.7060367454068242,25,2.8009299722916787,1143
Canada,Nunavut,7,0.006124234470691163,3,0.10651759743248575,1143
Canada,Ontario,16234,14.566929133858268,124,18.870900464587304,1143
Canada,Prince Edward Island,93,0.08223972003499562,11,0.5212384772728929,1143
Canada,Quebec,18160,15.89326334208224,151,23.29625275459706,1143
Canada,Repatriated Travellers,0,0.0,0,0.0,1143
Canada,Saskatchewan,1890,1.6535433070866141,59,5.256203336158028,1143
Canada,Yukon,32,0.02799650043744532,2,0.18025111882351635,1143
China,Anhui,7,0.006124234470691163,2,0.08856281156648899,1143
China,Beijing,20,0.017497812773403325,7,0.23976426642445284,1143
China,Chongqing,11,0.009623797025371828,1,0.09767049502193165,1143
China,Fujian,2,0.0017497812773403325,1,0.041812068467929585,1143
China,Gansu,2,0.0017497812773403325,1,0.041812068467929536,1143
China,Guangdong,10,0.008748906386701663,2,0.10213359154562163,1143
China,Guangxi,2,0.0017497812773403325,1,0.04181206846792954,1143
China,Guizhou,2,0.0017497812773403325,1,0.04181206846792954,1143
China,Hainan,6,0.005249343832020997,1,0.07229357312665115,1143
China,Hebei,7,0.006124234470691163,1,0.07805163744244964,1143
China,Heilongjiang,18,0.015748031496062992,2,0.14410948671776802,1143
China,Henan,23,0.020122484689413824,3,0.18840556650147605,1143
China,Hong Kong,13467,11.782152230971128,294,40.54614844880888,1143
China,Hubei,4515,3.9352580927384078,1290,41.53836039734692,1143
