Country_Region,Province_State,Total_Cases,Mean_Daily_Cases,Max_Daily_Cases,Std_Daily_Cases,Days_Reported
Australia,Australian Capital Territory,121,0.10673665791776028,13,0.8812992556735868,1143
Australia,New South Wales,2997,2.6281714785651795,1375,43.20860260148053,1143
Australia,Northern Territory,193,0.17497812773403323,14,0.8499533182057067,1143
Australia,Queensland,1727,1.520559930008749,296,12.370635915795116,1143
Australia,South Australia,841,0.7375328083989501,67,4.227056110903693,1143
Australia,Tasmania,221,0.1942257217847769,22,1.390763215031053,1143
Australia,Victoria,20061,17.556430446194227,2605,97.61972805194341,1143
Australia,Western Australia,1039,0.9378827646544182,95,4.993041539444176,1143
China,Anhui,1002,0.8766404199475065,81,5.940570115046185,1143
China,Beijing,1068,0.9343832020997376,35,3.12075683770265,1143
China,Chongqing,593,0.5188101487314086,32,2.9817520886578865,1143
China,Fujian,702,0.6141732283464567,23,1.8801317150502093,1143
China,Gansu,193,0.16885389326334208,15,0.9141863055340925,1143
China,Guangdong,2822,2.4698162729658795,63,6.855061194236175,1143
China,Guangxi,273,0.23972003499562555,22,1.4509845411698346,1143
China,Guizhou,145,0.1294838145231846,13,0.9942198956568599,1143
China,Hainan,182,0.16885389326334208,20,1.230953383946867,1143
China,Hebei,1310,1.1461067366579178,185,7.797491635773866,1143
China,Heilongjiang,1599,1.4024496937882764,76,6.390316197503711,1143
China,Henan,1295,1.1347331583552056,99,7.547819015174253,1143
China,Hong Kong,11721,10.26334208223972,173,22.987580101182274,1143
China,Hubei,64435,56.506561679790025,3418,301.56277674711214,1143
China,Hunan,1064,0.9361329833770778,73,5.398022738135165,1143
China,Inner Mongolia,398,0.34820647419072615,16,1.2148431908468034,1143
China,Jiangsu,752,0.6587926509186351,40,3.5258526230779594,1143
China,Jiangxi,936,0.8232720909886264,71,5.433429392041556,1143
China,Jilin,570,0.49868766404199477,37,2.6968470972152607,1143
China,Liaoning,428,0.3753280839895013,14,1.3047079817570997,1143
China,Macau,54,0.047244094488188976,3,0.27672214926954325,1143
China,Ningxia,76,0.06824146981627296,10,0.6378853290010321,1143
China,Qinghai,18,0.015748031496062992,4,0.20007996525967017,1143
China,Shaanxi,633,0.5564304461942258,25,1.800980039734077,1143
China,Shandong,876,0.7664041994750657,62,4.229683066760004,1143
China,Shanghai,2253,1.9728783902012248,34,3.6278451278324817,1143
China,Shanxi,253,0.2222222222222222,10,0.9595841351311545,1143
China,Sichuan,1113,0.973753280839895,29,2.707454294201185,1143
China,Tianjin,400,0.34995625546806647,16,1.1650250096203763,1143
China,Tibet,1,0.0008748906386701663,1,0.029578550313870477,1143
China,Unknown,39,0.1889763779527559,30,1.2495817522209356,1143
China,Xinjiang,977,0.8547681539807525,49,4.644441107309377,1143
China,Yunnan,477,0.41732283464566927,19,1.6304719288975682,1143
China,Zhejiang,1377,1.204724409448819,69,6.353019228457692,1143
Denmark,Faroe Islands,963,0.84251968503937,37,3.189251533573669,1143
Denmark,Greenland,87,0.07611548556430446,10,0.5994582732162539,1143
France,French Guiana,9995,8.744531933508311,442,35.7603597633863,1143
France,French Polynesia,19599,17.146981627296586,13755,408.3848684688215,1143
France,Guadeloupe,2250,1.968503937007874,1362,43.07390775191841,1143
France,Martinique,104,0.09098862642169729,27,1.3162520368698576,1143
France,Mayotte,2964,2.593175853018373,420,20.872262381636848,1143
France,New Caledonia,58,0.05074365704286964,13,0.4799453302670084,1143
France,Reunion,35563,31.11373578302712,2292,176.8072189053586,1143
France,Saint Barthelemy,462,0.4041994750656168,215,6.732521629956197,1143
France,Saint Pierre and Miquelon,26,0.022747156605424323,7,0.3038119952924658,1143
France,St Martin,1399,1.2239720034995625,349,13.138113936161693,1143
France,Wallis and Futuna,438,0.38320209973753283,392,11.62136738642331,1143
Netherlands,Aruba,11259,9.850393700787402,386,24.24068270864327,1143
Netherlands,"Bonaire, Sint Eustatius and Saba",1673,1.4636920384951881,1285,38.09034153700843,1143
Netherlands,Curacao,13157,11.510936132983376,764,47.058945163230696,1143
Netherlands,Sint Maarten,2682,2.350831146106737,61,6.128678295101112,1143
New Zealand,Cook Islands,0,0.0,0,0.0,1143
New Zealand,Niue,0,0.0,0,0.0,1143
United Kingdom,Anguilla,111,0.09711286089238845,40,1.3548319418211106,1143
United Kingdom,Bermuda,2503,2.189851268591426,146,10.198631577565559,1143
United Kingdom,British Virgin Islands,1914,1.6745406824146982,667,28.41638930930809,1143
United Kingdom,Cayman Islands,635,0.5555555555555556,16,1.8864950548937427,1143
United Kingdom,Channel Islands,8322,7.309711286089239,1712,57.98049344515998,1143
United Kingdom,Falkland Islands (Malvinas),63,0.05511811023622047,10,0.5404217389365135,1143
United Kingdom,Gibraltar,4670,4.093613298337708,173,15.852510432742466,1143
United Kingdom,Guernsey,0,0.0,0,0.0,1143
United Kingdom,Isle of Man,4019,3.521434820647419,1525,49.27352465487905,1143
United Kingdom,Jersey,0,0.0,0,0.0,1143
United Kingdom,Montserrat,19,0.017497812773403325,5,0.22074948704014424,1143
United Kingdom,Pitcairn Islands,0,0.0008748906386701663,1,0.02957855031387046,1143
United Kingdom,"Saint Helena, Ascension and Tristan da Cunha",4,0.004374453193350831,2,0.0781693328660903,1143
United Kingdom,Turks and Caicos Islands,2433,2.1294838145231845,262,11.217825616164896,1143
