Country/Region,Confirmed,Deaths,Recovered,New_Cases,New_Deaths,MA7_New_Cases,Mortality_Rate,Cluster,PC1,PC2,TSNE1,TSNE2
Afghanistan,209451,7896,82586,3243.0,159.0,2095.5714285714284,0.0466134744971677,0,-0.6586853624410796,-0.14746022264831565,-7.6938543,-1.3352267
Albania,334457,3598,130314,4789.0,21.0,2290.714285714286,0.0833333333333333,0,-0.6621475596256254,-0.0620356192111518,-6.2774334,-7.035649
Algeria,271496,6881,118409,2521.0,49.0,2177.5714285714284,0.1578416540595058,0,-0.6589503153566078,0.07764532254538958,-3.3305027,-14.934726
Andorra,47890,165,14380,2313.0,7.0,734.2857142857143,0.0670170827858081,0,-0.721429384084255,-0.09124449207688637,-10.171676,-8.422591
Angola,105288,1933,39582,5035.0,30.0,1716.0,0.2857142857142857,0,-0.6926333708385402,0.33048340979796187,0.26171815,-18.575556
Antarctica,11,0,0,11.0,0.0,1.5714285714285714,0.0,0,-0.7376573024405079,-0.2214945528257271,-23.917173,6.324336
Antigua and Barbuda,9106,146,1239,468.0,12.0,111.85714285714286,0.1304347826086956,0,-0.7333262393584766,0.029691554585257525,-4.8717165,-13.683956
Argentina,10044957,130472,4615834,139853.0,3351.0,114018.14285714286,0.0833333333333333,0,2.0121828215790223,-0.4011352598146122,13.561713,-0.3340869
Armenia,447308,8727,220438,4388.0,70.0,3399.0,0.0231449591627643,0,-0.6179026845245572,-0.1862141695197893,-6.006985,1.436144
Australia,11399460,19574,24203,175271.0,504.0,109214.71428571428,0.0394736842105263,0,1.035712411168413,0.008439959105219491,13.231852,5.000591
Austria,5961143,21970,644388,64038.0,145.0,46163.142857142855,0.046081360606757,0,0.17433519136883702,-0.08531834152941078,9.756212,4.100323
Azerbaijan,828825,10138,333694,7779.0,111.0,7050.142857142857,0.0666666666666666,0,-0.5473482783907131,-0.10512342924955695,-2.8344543,-0.7115722
Bahamas,37491,833,12702,1497.0,36.0,504.7142857142857,0.1951219512195122,0,-0.7214116582160689,0.1527137961387579,-3.0888963,-17.161467
Bahrain,710693,1553,267220,8173.0,29.0,7649.714285714285,0.0095465393794749,0,-0.5951212195304318,-0.20419141476565353,-3.6218822,5.585304
Bangladesh,2037871,29445,1141157,16230.0,264.0,14477.285714285714,0.1282051282051282,0,-0.23525555007408094,-0.01840744967807175,5.58513,-0.42439184
Barbados,106798,579,4251,1329.0,43.0,699.7142857142857,0.0875,0,-0.7201220873938996,-0.0554496750544814,-8.177022,-10.655447
Belarus,994037,7118,443417,11170.0,140.0,7901.571428571428,0.0185714285714285,0,-0.5230707820954107,-0.20181222948090385,-0.8570876,3.9261389
Belgium,4739365,33814,31130,133480.0,496.0,52137.57142857143,0.1642149622890451,0,0.3292117203566329,0.1688304656565365,11.288065,6.003597
Belize,70757,688,13543,1517.0,21.0,754.2857142857143,0.2,0,-0.7191594114732295,0.1639587024184287,-2.1204965,-17.244392
Benin,27999,163,8136,2566.0,9.0,643.4285714285714,0.0384615384615384,0,-0.7231309533836285,-0.14639238616200534,-14.689116,-2.262303
Bhutan,62627,21,2418,2291.0,2.0,1716.7142857142858,0.0012970168612191,0,-0.7178546586395705,-0.216799223513218,-19.939917,7.0683994
Bolivia,1194277,22365,411830,23611.0,1656.0,11969.714285714286,0.0818181818181818,0,-0.35686850480106197,-0.2273100336397983,2.343696,1.6463984
Bosnia and Herzegovina,401729,16280,189710,5254.0,207.0,2424.5714285714284,0.062144597887896,0,-0.5919561840930797,-0.12444882876944444,-2.8383162,-2.601844
Botswana,329758,2876,96964,41576.0,141.0,5939.428571428572,0.25,0,-0.5394074364581667,0.2732701280098779,-0.6581938,-19.74458
Brazil,37081209,699276,17771228,287149.0,4148.0,189227.0,0.0699215549844568,0,8.226618937019488,-0.7684578816687587,17.386963,-0.7067581
Brunei,279661,225,280,7380.0,17.0,4213.142857142857,0.0212765957446808,0,-0.6774614174015448,-0.17443852275913188,-10.985862,3.915617
Bulgaria,1297523,38228,398721,12399.0,334.0,8941.285714285714,0.1428571428571428,0,-0.3693686480356661,0.021155245183645727,0.67006695,-3.3436637
Burkina Faso,22056,396,13385,1005.0,31.0,286.2857142857143,0.0697674418604651,0,-0.7275263779855309,-0.08954502404700125,-9.495297,-8.920772
Burma,633950,19490,225849,7083.0,397.0,5831.285714285715,0.1363636363636363,0,-0.5328433685506405,0.0013975204849368133,-0.7965912,-4.5398607
Burundi,53631,38,773,4710.0,29.0,1162.0,0.2,0,-0.7126508168251845,0.1657058731585776,-2.6109753,-17.9744
Cabo Verde,63244,413,33173,1469.0,5.0,1062.7142857142858,0.3333333333333333,0,-0.7160395433090854,0.4227390596369166,1.7301259,-18.200642
Cambodia,138719,3056,72803,1130.0,39.0,981.0,0.0250153493851948,0,-0.6990533710230683,-0.17824270742026832,-13.587203,1.3643476
Cameroon,124392,1965,35261,9668.0,130.0,2387.8571428571427,0.0485714285714285,0,-0.674161150093257,-0.13494913135233713,-10.024935,-1.543953
Canada,4617095,51720,1405971,63678.0,300.0,41474.42857142857,0.0852298588984979,0,0.3062910091296243,-0.06267890064189183,9.868733,1.6467102
Central African Republic,15368,113,6859,4044.0,7.0,585.7142857142857,0.0139549148903542,0,-0.7204305919341766,-0.192669117507937,-17.773396,3.8318288
Chad,7679,194,4796,596.0,10.0,85.14285714285714,0.1152882205513784,0,-0.732683709832439,0.00055367132304541,-7.0425863,-13.340079
Chile,5192286,64273,1575377,41651.0,11447.0,35656.28571428572,0.0279417219115385,0,0.588834367723784,-1.361864813059896,5.3338366,-4.448409
China,4903524,101056,99228,78859.0,59961.0,66551.28571428571,0.0543701486303038,0,2.032470694146225,-6.304778583566542,6.218218,-4.835866
Colombia,6359093,142339,4615354,35575.0,720.0,31255.571428571428,0.047523258737742,0,1.046421214168314,-0.314311240327562,12.361886,-0.5675382
Comoros,9008,161,3873,275.0,12.0,177.14285714285714,0.125,0,-0.7331501615650988,0.01900130690455953,-6.3765717,-14.338944
Congo (Brazzaville),25375,388,12421,1188.0,24.0,332.7142857142857,0.1111111111111111,0,-0.726625140347434,-0.008713053168781902,-6.5341096,-12.454925
Congo (Kinshasa),95749,1464,30043,4481.0,196.0,1070.7142857142858,0.1168831168831168,0,-0.6985488177445129,-0.013571321894183417,-5.2585597,-12.105003
Costa Rica,1209725,9245,334759,55406.0,145.0,17634.428571428572,0.017094017094017,0,-0.3353015746092845,-0.16841318028705127,4.8469024,8.307723
Cote d'Ivoire,88263,834,49642,2858.0,14.0,1245.7142857142858,0.0147058823529411,0,-0.7079199926021655,-0.1936473147059012,-15.78185,3.4204998
Croatia,1269326,17987,354830,11812.0,92.0,8909.57142857143,0.0475767007558915,0,-0.469147051521599,-0.13585206438559394,0.13458881,0.8782818
Cuba,1112643,8530,373354,9907.0,98.0,9416.714285714286,0.1428571428571428,0,-0.515501153274113,0.04575151509625085,-0.36336812,-5.8648496
Cyprus,650685,1330,39061,15386.0,28.0,4908.285714285715,0.0308641975308641,0,-0.622816153590281,-0.15166587874525245,-8.55451,4.298606
Czechia,4618256,42491,1641321,67107.0,404.0,45320.142857142855,0.0354022466810393,0,0.3318098283469551,-0.17416703586158536,10.196298,2.0658128
Denmark,3451036,8345,307374,55709.0,90.0,47065.71428571428,0.0502046112386465,0,-0.06634541087087742,-0.07410760513740872,9.057025,5.2894034
Diamond Princess,712,13,699,99.0,2.0,65.57142857142857,0.0182584269662921,0,-0.7366886063829811,-0.18635010762825543,-18.940876,0.72805125
Djibouti,15690,189,11491,415.0,9.0,195.28571428571428,0.0139854965221252,0,-0.7320726562005161,-0.19542121793517686,-19.652473,1.7627541
Dominica,15760,74,209,895.0,6.0,152.57142857142858,0.0069010844561288,0,-0.7329740530739217,-0.20810922973859747,-21.076588,4.258718
Dominican Republic,660790,4384,324861,7439.0,39.0,6378.0,0.0588235294117647,0,-0.5872096928720991,-0.11345027947243538,-3.9769106,-0.5770344
Ecuador,1057121,36014,443880,17670.0,8786.0,9197.285714285714,0.0960651091814119,0,-0.15771912431063118,-0.9539914914030152,5.16965,-4.408746
Egypt,515759,24812,232179,5516.0,132.0,2376.5714285714284,0.0769975786924939,0,-0.5468169106463779,-0.08910660823323344,-1.9482715,-2.9140053
El Salvador,201785,4230,76670,12677.0,31.0,1811.0,0.058252427184466,0,-0.6528286882760492,-0.10553420891024548,-9.472472,-2.1156693
Equatorial Guinea,17229,183,8709,1750.0,32.0,250.0,0.0192307692307692,0,-0.7276364357558769,-0.18673191340086587,-17.517445,1.5301291
Eritrea,10189,103,6475,282.0,3.0,88.71428571428571,0.0106581125827814,0,-0.7344946709774706,-0.20119475462740105,-20.50117,3.0077486
Estonia,615433,2946,129183,8438.0,24.0,6909.428571428572,0.0367021276595744,0,-0.6148440694347256,-0.1467963175994503,-7.5477214,3.344676
Eswatini,74267,1425,22127,1642.0,24.0,1100.571428571429,0.0625,0,-0.7133573747891915,-0.10221394899190861,-9.783129,-7.620463
Ethiopia,500116,7572,264008,5185.0,49.0,4229.285714285715,0.0465116279069767,0,-0.6079737464925455,-0.1392828654508958,-5.259972,-0.11189915
Fiji,68898,883,10848,1854.0,29.0,1201.571428571429,0.0714285714285714,0,-0.7159358686542981,-0.08489409268067388,-8.873027,-8.631675
Finland,1463644,8967,46000,50889.0,330.0,10795.0,0.0521381202835582,0,-0.40801338308959567,-0.11452773944942773,4.17592,7.9222765
France,39866718,166176,415111,503349.0,1438.0,367017.28571428574,0.2383495563786717,0,5.5070159326885655,0.7201607268010359,18.04578,2.7443
Gabon,48981,306,25228,1871.0,6.0,537.0,0.3333333333333333,0,-0.7200126598211587,0.42286693730889735,1.1087093,-18.087868
Gambia,12598,372,7310,587.0,20.0,137.57142857142858,0.5,0,-0.728237310489317,0.7430658466166532,3.5076175,-17.472387
Georgia,1827537,16971,390827,26524.0,86.0,21690.0,0.0178837555886736,0,-0.327070266854161,-0.17638864055071135,5.037934,4.521742
Germany,38249060,168935,3659260,484345.0,1244.0,229484.14285714287,0.0472192620401274,0,5.005213380485053,0.16938005543309723,17.254639,2.4196384
Ghana,171229,1462,98633,2521.0,28.0,1348.857142857143,0.074074074074074,0,-0.6947039833948372,-0.08197457778624101,-7.70195,-7.717522
Greece,5548487,34779,93764,367629.0,378.0,52518.42857142857,0.0613433858807402,0,1.0484861850379628,0.12859911177953334,14.899344,6.0681977
Grenada,19680,238,161,902.0,23.0,288.42857142857144,0.0341122292341804,0,-0.7307019088995186,-0.1572122225642192,-15.547475,-1.632644
Guatemala,1238247,20182,331374,9946.0,102.0,5462.714285714285,0.5,0,-0.4861873515488285,0.7354561607515948,3.6516845,-18.2434
Guinea,38267,467,24463,534.0,14.0,298.2857142857143,0.012608482069756,0,-0.727134693892074,-0.1988708065094863,-19.653715,2.478104
Guinea-Bissau,8960,176,4027,305.0,6.0,67.0,0.0232558139534883,0,-0.7344581752055136,-0.1770734923972408,-17.414682,-0.45412877
